Cohort,Dataset,Rows,Features,NumericalFeatures,CategoricalFeatures,Target,MissingRatio,SeedCount,Source,OpenMLDatasetId,License,AccessURL,SplitProtocol,ScalerProtocol,MissingHandling,HoldoutNote
main_30,Review_Concrete.csv,1030,8,8,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_puma8NH.csv,8192,8,8,0,target,0.0,10,OpenML,225,verify_upstream_before_archival_or_submission,https://www.openml.org/d/225,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,House_Sales.csv,21613,18,18,0,price,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_wine_quality.csv,6497,11,11,0,target,0.0,10,OpenML,287,verify_upstream_before_archival_or_submission,https://www.openml.org/d/287,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_QSAR_Aquatic_Toxicity.csv,546,8,8,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Pol.csv,15000,48,48,0,foo,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Cpu_act.csv,8192,21,21,0,usr,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Energy_Efficiency.csv,768,8,8,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_cpu_small.csv,8192,12,12,0,target,0.0,10,OpenML,227,verify_upstream_before_archival_or_submission,https://www.openml.org/d/227,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_space_ga.csv,3107,6,6,0,target,0.0,10,OpenML,507,verify_upstream_before_archival_or_submission,https://www.openml.org/d/507,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Real_Estate_Valuation.csv,414,6,6,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Air_Quality.csv,6941,11,11,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_kin8nm.csv,8192,8,8,0,target,0.0,10,OpenML,189,verify_upstream_before_archival_or_submission,https://www.openml.org/d/189,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Elevators.csv,16599,18,18,0,Goal,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Combined_Cycle_Power_Plant.csv,9568,4,4,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Bike_Sharing_Hour.csv,17379,12,12,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Appliances_Energy.csv,19735,27,27,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Parkinsons_Telemonitoring.csv,5875,19,19,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Review_Naval_Propulsion.csv,11934,16,16,0,target,0.0,10,review_extension,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,California_Housing.csv,20640,9,8,1,median_house_value,0.0011143410852713178,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark

